url	first_seen	ats	company	sector	title	location	unclear
https://jobs.ashbyhq.com/ramp/28babcd7-1da5-434d-8e87-deb7b5809a43	2026-05-10	ashby	Ramp	fintech	Manager, Partner Success Strategy & Operations	San Francisco, CA	0
https://jobs.ashbyhq.com/ramp/8db155ca-7e13-4eed-9813-1b6b65d66158	2026-05-10	ashby	Ramp	fintech	Senior Channel Partner Manager | Venture Capital & Growth Equity	New York, NY (HQ)	0
https://sumup.com/careers/positions/8496755002?gh_jid=8496755002	2026-05-10	greenhouse	SumUp	eu-consumer	Growth Account Manager	Denver, Colorado, United States	0
https://sumup.com/careers/positions/8343371002?gh_jid=8343371002	2026-05-10	greenhouse	SumUp	eu-consumer	Product Manager - Acquiring	Sofia, Bulgaria	1
https://sumup.com/careers/positions/8313095002?gh_jid=8313095002	2026-05-10	greenhouse	SumUp	eu-consumer	Senior Product Manager - Acquiring	Sofia, Bulgaria	1
https://sumup.com/careers/positions/8458928002?gh_jid=8458928002	2026-05-10	greenhouse	SumUp	eu-consumer	Senior Product Manager - Bookings	Warsaw, Poland	1
https://jobs.lever.co/pigment/5a1b4da5-a1c9-45ea-af96-f4ab188d8762	2026-05-10	lever	Pigment	saas	Program Manager, GTM Enablement	Toronto	1
https://jobs.ashbyhq.com/replit/cf236c47-218b-4a31-b0b6-d6ed12a8e077	2026-05-10	ashby	Replit	ai-startup	Senior Product Manager	Foster City, CA (Hybrid) In office M,W,F	1
https://jobs.ashbyhq.com/replit/1e1a651f-693d-4f9d-bfd9-280a50d28d13	2026-05-10	ashby	Replit	ai-startup	Staff Technical Program Manager, AI / Agent Systems	Foster City, CA (Hybrid) In office M,W,F	1
https://jobs.ashbyhq.com/replit/95332816-5890-4fac-b5fc-4b0cea0d77db	2026-05-10	ashby	Replit	ai-startup	Chief of Staff to CEO	Foster City, CA (Hybrid) In office M,W,F	1
https://jobs.lever.co/spotify/f38133ce-c2d7-4473-ab69-6bdcb1703297	2026-05-10	lever	Spotify	eu-consumer	Principal Product Manager, Experience	New York, NY	0
https://jobs.lever.co/spotify/a4a933ce-ab44-4a13-b8ca-8575c97ea40a	2026-05-10	lever	Spotify	eu-consumer	Product Manager - Artist Promotion	New York, NY	0
https://jobs.lever.co/spotify/6a026d34-6314-4090-b7b7-b528049d9088	2026-05-10	lever	Spotify	eu-consumer	Revenue Operations Analyst	New York, NY	0
https://jobs.lever.co/spotify/ca78242e-f174-4c52-a630-960ca4bf24c3	2026-05-10	lever	Spotify	eu-consumer	Senior Program Analyst, Revenue Growth	New York, NY	0
https://jobs.ashbyhq.com/langchain/27af5f96-b287-4bcc-8679-f96686dc7c8d	2026-05-10	ashby	LangChain	ai-infra	Product Manager, LangSmith	New York, NY	0
https://jobs.lever.co/palantir/7eb0dedb-37ee-4175-b29f-10a9e4340076	2026-05-10	lever	Palantir	eu-consumer	Technical Program Manager (TPM)	New York, NY	0
https://jobs.lever.co/palantir/bd16f7ad-3bee-48fd-9902-b3ee9698b608	2026-05-10	lever	Palantir	eu-consumer	Technical Program Manager (TPM) - Defense	Washington, D.C.	0
	2026-05-25	workday	T. Rowe Price	asset-mgmt	Advice Growth, Senior Manager	2 Locations	1
	2026-05-25	workday	State Street	asset-mgmt	Distribution Strategy and Planning - CCG Strategy & Operations, VP - State Street Investment Management	2 Locations	1
	2026-05-25	workday	T. Rowe Price	asset-mgmt	Advice Growth, Senior Manager	2 Locations	1
https://troweprice.wd5.myworkdayjobs.com/en-US/TROWEPRICE/job/Owings-Mills-MD/Advice-Growth--Senior-Manager_81388	2026-05-25	workday	T. Rowe Price	asset-mgmt	Advice Growth, Senior Manager	2 Locations	1
https://troweprice.wd5.myworkdayjobs.com/en-US/TROWEPRICE/job/Baltimore-MD/Product-Manager--Investment-Strategy_80664-1	2026-05-25	workday	T. Rowe Price	asset-mgmt	Equity Product Manager	Baltimore, MD	1
https://troweprice.wd5.myworkdayjobs.com/en-US/TROWEPRICE/job/Baltimore-MD/Team-Analyst---Global-Focused-Growth-Strategy_78674	2026-05-25	workday	T. Rowe Price	asset-mgmt	Team Analyst – Global Focused Growth Strategy	Baltimore, MD	1
https://troweprice.wd5.myworkdayjobs.com/en-US/TROWEPRICE/job/Baltimore-MD/Large-Cap-Growth-Strategy-Associate-Analyst_76537	2026-05-25	workday	T. Rowe Price	asset-mgmt	Large-Cap Growth Strategy Associate Analyst	Baltimore, MD	1
https://troweprice.wd5.myworkdayjobs.com/en-US/TROWEPRICE/job/Owings-Mills-MD/Program-Manager---Individual-Investors_80796-1	2026-05-25	workday	T. Rowe Price	asset-mgmt	Program Manager – Individual Investors	2 Locations	1
https://app.careerpuck.com/job-board/lyft/job/8534529002?gh_jid=8534529002	2026-05-25	greenhouse	Lyft	e-commerce	Global Equity Program Manager	Seattle, WA	0
https://app.careerpuck.com/job-board/lyft/job/8492202002?gh_jid=8492202002	2026-05-25	greenhouse	Lyft	e-commerce	Group Product Manager II, Pricing	New York, NY	0
https://app.careerpuck.com/job-board/lyft/job/8538777002?gh_jid=8538777002	2026-05-25	greenhouse	Lyft	e-commerce	Manager, AV Strategy & Business Operations	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8550252002?gh_jid=8550252002	2026-05-25	greenhouse	Lyft	e-commerce	Product Manager, Driver Earnings	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8514395002?gh_jid=8514395002	2026-05-25	greenhouse	Lyft	e-commerce	Product Manager, Driver Experience	Toronto, Canada	1
https://app.careerpuck.com/job-board/lyft/job/8550340002?gh_jid=8550340002	2026-05-25	greenhouse	Lyft	e-commerce	Product Manager, Risk Tech - Claims	Toronto, Canada	1
https://app.careerpuck.com/job-board/lyft/job/8503978002?gh_jid=8503978002	2026-05-25	greenhouse	Lyft	e-commerce	Senior Design Program Manager, Design Foundations & AI Transformation	San Francisco, CA	0
https://app.careerpuck.com/job-board/lyft/job/8547660002?gh_jid=8547660002	2026-05-25	greenhouse	Lyft	e-commerce	Staff Product Manager, Lyft Business Growth	San Francisco, CA	0
https://instacart.careers/job/?gh_jid=7597066	2026-05-25	greenhouse	Instacart	e-commerce	Principal Product Manager, Agentic Commerce	Canada - Remote (ON, AB, BC, or NS Only)	1
https://instacart.careers/job/?gh_jid=7813000	2026-05-25	greenhouse	Instacart	e-commerce	Senior Director, Enterprise Delivery and Growth	United States - Remote	0
https://instacart.careers/job/?gh_jid=7769924	2026-05-25	greenhouse	Instacart	e-commerce	Senior Product Manager, Fraud & Trust	United States - Remote	0
https://instacart.careers/job/?gh_jid=7896276	2026-05-25	greenhouse	Instacart	e-commerce	Senior Strategic Financial Analyst – Growth	United States - Remote	0
https://careers.airbnb.com/positions/7927170?gh_jid=7927170	2026-05-25	greenhouse	Airbnb	e-commerce	Program Manager, Community Support	Canada	1
https://careers.airbnb.com/positions/7944603?gh_jid=7944603	2026-05-25	greenhouse	Airbnb	e-commerce	Programs and Business Operations Lead, Cities	United States 	0
https://careers.airbnb.com/positions/7762368?gh_jid=7762368	2026-05-25	greenhouse	Airbnb	e-commerce	Staff Program Manager 	United States	0
https://job-boards.greenhouse.io/doordashusa/jobs/7917387	2026-05-25	greenhouse	DoorDash	e-commerce	Associate Manager, Ads New Ventures - Strategy & Operations	New York, NY; Atlanta, GA; Chicago, IL; San Francisco, CA; Los Angeles, CA; Seattle, WA	0
https://job-boards.greenhouse.io/doordashusa/jobs/7940194	2026-05-25	greenhouse	DoorDash	e-commerce	Associate Manager, New Verticals - Strategy & Operations	New York, NY; San Francisco, CA; Los Angeles, CA; Chicago, IL; Seattle, WA; Washington D.C.	0
https://job-boards.greenhouse.io/doordashusa/jobs/7918865	2026-05-25	greenhouse	DoorDash	e-commerce	Associate, Merchant Strategy & Operations	San Francisco, CA; Los Angeles, CA; New York, NY; Chicago, IL; Washington D.C.; United States - Remote	0
https://job-boards.greenhouse.io/doordashusa/jobs/7943638	2026-05-25	greenhouse	DoorDash	e-commerce	Associate, Sales Strategy & Operations	San Francisco, CA; New York, NY; Atlanta, GA; Chicago, IL; Denver, CO; Washington D.C.; Austin, TX; Phoenix, AZ; Los Angeles, CA; Seattle, WA; Boston, MA	0
https://job-boards.greenhouse.io/doordashusa/jobs/7899188	2026-05-25	greenhouse	DoorDash	e-commerce	Director / GM, DashPass Strategy & Operations	San Francisco, CA; Seattle, WA; New York, NY; Austin, TX; Chicago, IL; Miami, FL; Los Angeles, CA; Denver, CO	0
https://job-boards.greenhouse.io/doordashusa/jobs/7891808	2026-05-25	greenhouse	DoorDash	e-commerce	Director, Strategy & Operations, Sales Lab	San Francisco, CA; Seattle, WA; New York, NY; Miami, FL; Los Angeles, CA; Denver, CO	0
https://job-boards.greenhouse.io/doordashusa/jobs/7874390	2026-05-25	greenhouse	DoorDash	e-commerce	Growth Merchant Lead - Emerging Markets	Wilmington, NC; Charleston, SC	1
https://job-boards.greenhouse.io/doordashusa/jobs/7612469	2026-05-25	greenhouse	DoorDash	e-commerce	Manager, DashMart - Efficiency Strategy & Operations	New York, NY; San Francisco, CA; Seattle, WA; Chicago, IL;  Los Angeles, CA; Tempe, AZ; Washington D.C.	0
